year,KAZ,BLR,AZE,GEO,ARM,NOR
2010,26374.84,24012.61,19925.39,11294.37,10438.56,83256.79
2011,27946.16,25404.76,19358.08,12288.68,10990.18,83092.43
2012,28881.24,25879.13,19523.37,13193.96,11796.27,84237.15
2013,30177.49,26147.63,20398.65,13913.00,12194.02,84070.46
2014,30986.44,26564.43,20709.20,14475.31,12667.38,84830.26
2015,30893.76,25513.21,20678.75,14936.84,13112.76,85550.29
2016,30758.32,24846.83,19822.41,15442.96,13192.99,85787.62
2017,31524.44,25503.98,19659.00,16237.62,14243.87,87194.11
2018,32330.23,26363.46,19781.85,17228.68,15037.05,87338.47
2019,33298.21,26798.82,20101.49,18186.88,16215.36,87725.73
2020,32011.55,26731.50,19126.10,17031.14,15052.94,86096.05
2021,32945.85,27611.18,20111.38,18915.65,15921.71,88984.14
2022,33506.26,26537.51,21051.24,20966.53,17886.18,91051.08
2023,34703.23,27782.44,21310.74,22590.53,19402.75,90085.44
