country,mape_tc_only,mape_tc_digital,improvement_pp,winner
TUR,23.32,6.76,16.55,TC+Digital
POL,27.81,13.70,14.11,TC+Digital
ARM,22.58,8.51,14.07,TC+Digital
KAZ,12.47,3.55,8.92,TC+Digital
MYS,10.56,3.77,6.78,TC+Digital
AZE,3.01,2.81,0.20,TC+Digital
KGZ,13.50,20.05,-6.55,TC-only
ROU,28.41,37.17,-8.75,TC-only
RUS,8.01,20.57,-12.56,TC-only
CHL,4.61,19.30,-14.69,TC-only
EST,16.35,31.52,-15.17,TC-only
BLR,4.62,26.96,-22.34,TC-only
MNG,16.35,39.68,-23.34,TC-only
THA,15.07,40.90,-25.83,TC-only
MDA,25.94,53.47,-27.53,TC-only
NOR,4.68,39.07,-34.39,TC-only
GEO,27.39,62.23,-34.84,TC-only
UZB,29.00,98.50,-69.51,TC-only
